
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E6:8D:8C:80:ED:D7, 2019-03-07 12:37:06, 2019-03-07 12:37:06,  7,  54, WPA2 WPA, CCMP,PSK, -92,        1,        0,   0.  0.  0.  0,   0, , 
E6:8D:8C:80:ED:D6, 2019-03-07 12:37:02, 2019-03-07 12:37:31,  7,  54, OPN, ,   , -94,        1,       10, 192.168. 97.225,   5, elsys, 
E6:8D:8C:80:ED:D5, 2019-03-07 12:37:02, 2019-03-07 12:37:35,  7,  -1, WPA, ,   , -94,        0,       26,   0.  0.  0.  0,   0, , 
50:C5:8D:29:17:91, 2019-03-07 12:37:29, 2019-03-07 12:37:29,  4,  54, WPA2, CCMP,PSK, -94,        0,        0,   0.  0.  0.  0,  13, TUES-Teachers, 
18:F0:E4:29:4B:E6, 2019-03-07 12:37:27, 2019-03-07 12:37:31,  6,  54, OPN, ,   , -92,        3,        0,   0.  0.  0.  0,   5, Redmi, 
E4:8D:8C:80:ED:D5, 2019-03-07 12:37:10, 2019-03-07 12:37:28,  7,  54, WPA2 WPA, CCMP,PSK, -91,        2,        0,   0.  0.  0.  0,  14, elsys-teachers, 
E4:8D:8C:A1:E9:07, 2019-03-07 12:37:02, 2019-03-07 12:37:31,  7,  54, WPA2 WPA, CCMP,PSK, -91,        7,        0,   0.  0.  0.  0,  14, elsys-teachers, 
EC:10:7B:A9:27:59, 2019-03-07 12:37:02, 2019-03-07 12:37:31,  1,  54, WPA2, CCMP,PSK, -90,        1,        1,   0.  0.  0.  0,  14, Net Neutrality, 
28:C0:DA:D5:17:92, 2019-03-07 12:37:02, 2019-03-07 12:37:35,  7,  54, WPA2, CCMP,PSK, -91,        6,        0,   0.  0.  0.  0,   9, JNPR-MGMT, 
28:C0:DA:D5:17:91, 2019-03-07 12:37:02, 2019-03-07 12:37:35,  7,  54, WPA2, CCMP,PSK, -90,       12,        0,   0.  0.  0.  0,  13, TUES-Teachers, 
28:C0:DA:D5:17:90, 2019-03-07 12:37:02, 2019-03-07 12:37:35,  7,  54, OPN, ,   , -89,        9,        0,   0.  0.  0.  0,  13, TUES-Students, 
E6:8D:8C:A1:E9:08, 2019-03-07 12:37:02, 2019-03-07 12:37:36,  2,  54, OPN, ,   , -62,       39,      314, 192.168. 97.225,   5, elsys, 
1C:67:58:A7:01:AA, 2019-03-07 12:37:05, 2019-03-07 12:37:27, 11,  54, WPA2, CCMP,PSK, -87,        6,        0,   0.  0.  0.  0,  14, HUAWEI P8 lite, 
E6:8D:8C:A1:E9:A3, 2019-03-07 12:37:05, 2019-03-07 12:37:34, 11,  54, WPA2 WPA, CCMP,PSK, -72,       22,      202,   0.  0.  0.  0,  14, elsys-students, 
E6:8D:8C:A1:E9:A5, 2019-03-07 12:37:05, 2019-03-07 12:37:34, 11,  54, WPA2 WPA, CCMP,PSK, -84,       19,        0,   0.  0.  0.  0,   0, , 
E6:8D:8C:A1:E9:A4, 2019-03-07 12:37:05, 2019-03-07 12:37:34, 11,  54, OPN, ,   , -79,       21,      280, 192.168. 97.124,   5, elsys, 
E4:8D:8C:A1:E9:A3, 2019-03-07 12:37:05, 2019-03-07 12:37:34, 11,  54, WPA2 WPA, CCMP,PSK, -84,       22,        0,   0.  0.  0.  0,  14, elsys-teachers, 
D4:CA:6D:FE:6D:CD, 2019-03-07 12:37:03, 2019-03-07 12:37:35,  2,  54, WPA2 WPA, CCMP,PSK, -80,       22,        0,   0.  0.  0.  0,  14, elsys-teachers, 
D6:CA:6D:FE:6D:CF, 2019-03-07 12:37:03, 2019-03-07 12:37:35,  2,  54, WPA2 WPA, CCMP,PSK, -82,       23,        0,   0.  0.  0.  0,   0, , 
E6:8D:8C:A1:E9:A6, 2019-03-07 12:37:05, 2019-03-07 12:37:34, 11,  54, WPA2 WPA, CCMP,PSK, -84,       23,        6,   0.  0.  0.  0,  11, elsys-cab35, 
D6:CA:6D:FE:6D:CD, 2019-03-07 12:37:03, 2019-03-07 12:37:35,  2,  54, WPA2 WPA, CCMP,PSK, -82,       23,       21,   0.  0.  0.  0,  14, elsys-students, 
D6:CA:6D:FE:6D:CE, 2019-03-07 12:37:03, 2019-03-07 12:37:35,  2,  54, OPN, ,   , -82,       24,       46, 192.168. 96.  1,   5, elsys, 
D6:CA:6D:FE:6D:D0, 2019-03-07 12:37:02, 2019-03-07 12:37:35,  2,  54, WPA2 WPA, CCMP,PSK, -81,       24,        0,   0.  0.  0.  0,  11, elsys-cab34, 
E6:8D:8C:A1:E9:09, 2019-03-07 12:37:02, 2019-03-07 12:37:35,  2,  54, WPA2 WPA, CCMP,PSK, -67,       36,        0,   0.  0.  0.  0,   0, , 
E6:8D:8C:A1:E9:0A, 2019-03-07 12:37:02, 2019-03-07 12:37:35,  2,  54, WPA2 WPA, CCMP,PSK, -60,       33,        0,   0.  0.  0.  0,  11, elsys-cab25, 
E4:8D:8C:A1:E6:CB, 2019-03-07 12:37:03, 2019-03-07 12:37:35,  2,  54, WPA2 WPA, CCMP,PSK, -60,       22,        0,   0.  0.  0.  0,  14, elsys-teachers, 
E6:8D:8C:A1:E9:07, 2019-03-07 12:37:02, 2019-03-07 12:37:35,  2,  54, WPA2 WPA, CCMP,PSK, -58,       36,      898,   0.  0.  0.  0,  14, elsys-students, 
78:FE:3D:9C:F8:90, 2019-03-07 12:37:06, 2019-03-07 12:37:13,  1,  -1, OPN, ,   ,  -1,        0,       14, 192.168. 96.156,   0, , 
50:C5:8D:29:17:90, 2019-03-07 12:37:23, 2019-03-07 12:37:23,  5,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
28:C0:DA:D5:01:10, 2019-03-07 12:37:34, 2019-03-07 12:37:34, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
84:C7:EA:DC:5A:8E, 2019-03-07 12:37:03, 2019-03-07 12:37:17, -96,       30, D6:CA:6D:FE:6D:CE,
DC:BF:E9:A3:26:35, 2019-03-07 12:37:02, 2019-03-07 12:37:30, -94,      109, E6:8D:8C:A1:E9:A3,
04:F1:28:64:EF:3A, 2019-03-07 12:37:03, 2019-03-07 12:37:28, -94,       15, D6:CA:6D:FE:6D:CD,
C0:E8:62:B3:14:24, 2019-03-07 12:37:05, 2019-03-07 12:37:34, -92,        8, E6:8D:8C:A1:E9:A4,
E4:E1:30:54:03:F1, 2019-03-07 12:37:03, 2019-03-07 12:37:14, -92,        9, E6:8D:8C:A1:E9:08,
DA:A1:19:3B:76:CE, 2019-03-07 12:37:21, 2019-03-07 12:37:21, -92,        3, (not associated) ,TUES-Students
14:33:65:1C:88:01, 2019-03-07 12:37:02, 2019-03-07 12:37:35, -92,      122, E6:8D:8C:A1:E9:08,
DA:A1:19:25:51:05, 2019-03-07 12:37:29, 2019-03-07 12:37:29, -92,        1, (not associated) ,
40:9C:28:25:59:B5, 2019-03-07 12:37:03, 2019-03-07 12:37:03, -90,        1, D6:CA:6D:FE:6D:CE,
DA:A1:19:CC:C5:2B, 2019-03-07 12:37:03, 2019-03-07 12:37:03, -90,        3, (not associated) ,
38:2D:E8:92:F9:5E, 2019-03-07 12:37:05, 2019-03-07 12:37:16, -90,       27, E6:8D:8C:A1:E9:A4,elsys
20:47:DA:2D:9A:C1, 2019-03-07 12:37:06, 2019-03-07 12:37:06, -90,       11, 78:FE:3D:9C:F8:90,
D8:5B:2A:36:5F:03, 2019-03-07 12:37:06, 2019-03-07 12:37:06, -90,        1, (not associated) ,TUES-Students
F4:60:E2:D8:8F:92, 2019-03-07 12:37:21, 2019-03-07 12:37:21, -90,        1, D6:CA:6D:FE:6D:CE,
B4:3A:28:D9:21:87, 2019-03-07 12:37:02, 2019-03-07 12:37:31, -90,       17, E6:8D:8C:80:ED:D6,elsys
00:F4:8D:83:2B:EB, 2019-03-07 12:37:28, 2019-03-07 12:37:35, -94,       20, E6:8D:8C:80:ED:D5,
DA:A1:19:5F:46:FF, 2019-03-07 12:37:29, 2019-03-07 12:37:29, -90,        1, (not associated) ,
C0:85:4C:95:C6:E2, 2019-03-07 12:37:16, 2019-03-07 12:37:16, -88,        7, (not associated) ,Dragovcheva,netis,TIN_Guests,Nokia_XL,TU-Sofia 5,TelecomBanya1,HOTEL PRI SPASKA
DA:A1:19:7B:92:0C, 2019-03-07 12:37:21, 2019-03-07 12:37:21, -88,        1, (not associated) ,
20:78:F0:AF:C2:22, 2019-03-07 12:37:23, 2019-03-07 12:37:23, -88,        3, 50:C5:8D:29:17:90,
DA:A1:19:E0:1B:59, 2019-03-07 12:37:31, 2019-03-07 12:37:31, -88,        3, (not associated) ,TUES-Students
24:1B:7A:D4:72:36, 2019-03-07 12:37:12, 2019-03-07 12:37:23, -86,        4, E6:8D:8C:A1:E9:A6,
14:9F:3C:52:13:91, 2019-03-07 12:37:12, 2019-03-07 12:37:12, -86,        2, (not associated) ,
58:C5:CB:D1:26:49, 2019-03-07 12:37:02, 2019-03-07 12:37:35, -84,      159, E6:8D:8C:A1:E9:08,elsys
D4:61:2E:9A:D2:48, 2019-03-07 12:37:14, 2019-03-07 12:37:35, -84,       13, E6:8D:8C:A1:E9:08,elsys
AC:07:5F:66:AB:07, 2019-03-07 12:37:31, 2019-03-07 12:37:31, -84,        1, EC:10:7B:A9:27:59,
1C:15:1F:56:E2:AC, 2019-03-07 12:37:06, 2019-03-07 12:37:17, -82,        2, D6:CA:6D:FE:6D:CE,
88:AD:D2:48:27:C5, 2019-03-07 12:37:06, 2019-03-07 12:37:17, -82,        7, E6:8D:8C:A1:E9:08,
08:ED:B9:B5:6E:D9, 2019-03-07 12:37:05, 2019-03-07 12:37:34, -90,      122, E6:8D:8C:A1:E9:A3,
DA:A1:19:E7:1B:C0, 2019-03-07 12:37:17, 2019-03-07 12:37:18, -80,        6, (not associated) ,
04:D3:B0:FD:FB:6F, 2019-03-07 12:37:05, 2019-03-07 12:37:34, -82,       38, E6:8D:8C:A1:E9:A4,
08:78:08:05:96:C4, 2019-03-07 12:37:05, 2019-03-07 12:37:34, -84,       35, E6:8D:8C:A1:E9:A3,
C8:FF:28:D6:21:D9, 2019-03-07 12:37:30, 2019-03-07 12:37:30, -76,        1, (not associated) ,
40:F3:08:E2:C2:C9, 2019-03-07 12:37:06, 2019-03-07 12:37:36, -72,        7, E6:8D:8C:A1:E9:08,
10:2A:B3:9A:6E:F3, 2019-03-07 12:37:05, 2019-03-07 12:37:33, -70,        9, E6:8D:8C:A1:E9:A4,
A0:28:ED:CA:2C:8D, 2019-03-07 12:37:02, 2019-03-07 12:37:36, -72,       20, E6:8D:8C:A1:E9:08,
24:FD:52:80:2D:7A, 2019-03-07 12:37:05, 2019-03-07 12:37:30, -62,       38, E6:8D:8C:A1:E9:A3,
18:F0:E4:F0:BB:DB, 2019-03-07 12:37:03, 2019-03-07 12:37:35, -54,      875, E6:8D:8C:A1:E9:07,
88:11:96:F4:AC:CA, 2019-03-07 12:37:02, 2019-03-07 12:37:19,  -1,       25, E6:8D:8C:A1:E9:A4,
00:40:96:B0:54:1E, 2019-03-07 12:37:05, 2019-03-07 12:37:16,  -1,       10, E6:8D:8C:A1:E9:A4,
78:C3:E9:16:E1:D2, 2019-03-07 12:37:05, 2019-03-07 12:37:25,  -1,      122, E6:8D:8C:A1:E9:08,
14:9D:09:5F:72:67, 2019-03-07 12:37:05, 2019-03-07 12:37:16,  -1,       26, E6:8D:8C:A1:E9:A4,
F0:43:47:20:4D:BF, 2019-03-07 12:37:06, 2019-03-07 12:37:32,  -1,       12, D6:CA:6D:FE:6D:CE,
B4:8B:19:D4:C0:BE, 2019-03-07 12:37:08, 2019-03-07 12:37:09,  -1,       18, E6:8D:8C:A1:E9:A4,
